#frameID  ringNumSingle  avgRingAreaSingle  avgRingCircularitySingle
0        4        5.6774   0.9066  
1        8        5.5711   0.9062  
2        2        5.5945   0.9063  
3        3        5.5301   0.9059  
4        4        5.5974   0.9061  
5        1        5.5216   0.9038  
