frameID 1        index 47       49       68       69       67       66       area  5.7586   circularity  0.9047   centerXYZ  7.78   7.22   9.94  
frameID 1        index 48       49       68       70       51       50       area  5.6280   circularity  0.9063   centerXYZ  10.01  5.95   10.02 
frameID 1        index 51       53       72       73       71       70       area  5.6074   circularity  0.9064   centerXYZ  12.22  7.22   10.02 
frameID 1        index 52       53       72       74       55       54       area  5.7159   circularity  0.9045   centerXYZ  14.43  5.96   10.06 
frameID 1        index 55       57       76       77       75       74       area  5.7652   circularity  0.9060   centerXYZ  16.71  7.23   10.11 
frameID 1        index 56       57       76       78       59       58       area  5.4856   circularity  0.9064   centerXYZ  18.93  5.95   10.08 
frameID 1        index 63       65       84       85       83       82       area  5.5212   circularity  0.9066   centerXYZ  3.35   9.78   9.95  
frameID 1        index 64       65       84       86       67       66       area  5.6172   circularity  0.9066   centerXYZ  5.53   8.49   9.94  
frameID 1        index 67       69       88       89       87       86       area  5.6115   circularity  0.9067   centerXYZ  7.76   9.77   9.91  
frameID 1        index 68       69       88       90       71       70       area  5.7021   circularity  0.9061   centerXYZ  10.00  8.50   9.96  
frameID 1        index 71       73       92       93       91       90       area  5.8479   circularity  0.9066   centerXYZ  12.24  9.77   10.02 
frameID 1        index 72       73       92       94       75       74       area  5.7737   circularity  0.9063   centerXYZ  14.49  8.52   10.08 
frameID 1        index 75       77       96       97       95       94       area  5.7230   circularity  0.9064   centerXYZ  16.70  9.81   10.13 
frameID 1        index 76       77       96       98       79       78       area  5.6670   circularity  0.9065   centerXYZ  18.93  8.49   10.11 
frameID 2        index 3        5        24       25       23       22       area  5.6752   circularity  0.9061   centerXYZ  3.34   2.13   10.06 
frameID 2        index 4        6        87       86       84       85       area  5.7035   circularity  0.9063   centerXYZ  5.54   11.05  9.92  
frameID 2        index 7        9        28       29       27       26       area  5.7142   circularity  0.9065   centerXYZ  7.75   2.11   10.03 
frameID 2        index 8        10       91       90       88       89       area  5.8382   circularity  0.9062   centerXYZ  9.99   11.06  9.97  
frameID 2        index 11       13       32       33       31       30       area  5.8722   circularity  0.9064   centerXYZ  12.24  2.12   10.04 
frameID 2        index 12       14       95       94       92       93       area  5.8129   circularity  0.9052   centerXYZ  14.46  11.09  10.09 
